Generation,Name,Gene0,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23
1,Joseph Braitenberg ,0.2779849,-0.5717618,0.7679679,-0.4323149,-0.212695,0.7896898,0.5049155,-0.005308628,0.03629291,0.8513864,0.05823791,-0.5158478,-0.5731238,-0.2989083,0.335995,0.2529083,0.6838521,0.1011763,-0.7040323,0.8356568,0.0325886,0.008893847,-0.659426,0.5778461
1,Joseph PerlinIII,-0.1655313,-0.1239914,0.5277423,-0.6813523,0.1809605,0.07704973,0.8246191,0.9736769,0.1335096,0.4692999,-0.728086,0.08855927,-0.1283495,-0.417813,0.04830194,0.3480397,-0.6671433,0.4138981,0.5631877,-0.2251668,-0.08737749,-0.3100446,0.7732966,-0.930564
1,Valentino KruskalII,0.5596536,-0.5607744,0.582866,-0.07969201,0.4979376,0.8040463,-0.4570015,-0.5083393,0.3227785,0.9676481,-0.1556216,0.3056053,-0.4208305,0.3663893,-0.5739986,-0.2440088,-0.04418415,0.255179,0.7709246,0.712435,0.1977131,0.5859767,0.3057159,-0.886434
1,Marvin Braitenberg ,-0.3516061,-0.5906217,-0.06760424,0.9608115,0.4433588,0.9747388,0.6347915,0.4304802,0.7424176,0.8043362,-0.5462333,0.736046,-0.01730543,-0.11362,0.6034812,0.1544778,-0.1586986,0.9323295,0.6707453,0.2719429,-0.3098375,0.02143049,-0.2873179,0.8187505
1,Ken KruskalIII,0.7610772,0.118085,-0.5350705,-0.3428159,0.6095544,-0.754685,0.612713,0.3540998,-0.03883541,-0.5906084,0.139973,-0.6010807,-0.3175151,0.08302486,-0.9710901,0.7043588,0.1390431,-0.9363009,-0.5818781,0.4707041,-0.8474255,0.1598041,0.7965333,0.7024256
1,Ken Lamarck ,-0.1159724,-0.6772944,-0.06091386,0.2762644,0.4582428,0.9378489,-0.09387195,-0.8554868,0.102712,0.4583063,-0.3330501,-0.4354862,-0.7940837,-0.4407644,-0.9415544,0.09973645,-0.9541036,-0.3550494,0.391863,0.7580053,0.4558442,-0.5190482,-0.09895688,0.0167129
1,Joseph LamarckII,0.6516979,-0.3835533,-0.1288665,0.2653835,0.9152313,-0.9662268,0.4234035,0.6269635,0.6966963,0.1136452,0.1263428,-0.4326498,-0.5530034,0.3161438,-0.7504802,-0.3346322,0.9797171,-0.5199102,-0.3974636,0.5133946,-0.3855341,-0.485078,-0.7171726,-0.7408855
1,Joseph PerlinII,-0.2728343,-0.6705927,-0.1298825,0.7392021,-0.07760876,0.1838531,-0.2467846,-0.2564698,0.5383812,0.333993,0.4699105,-0.1319426,0.5490351,0.2834144,0.1608179,-0.2268715,-0.3032425,0.2254589,-0.8217741,0.275546,-0.5106013,-0.3733807,-0.08594286,0.1434658
1,Isaac Perlin ,-0.1869617,-0.0888325,-0.4330187,-0.5428721,-0.1088946,0.2525132,0.218292,-0.730909,-0.9123359,-0.8098781,0.1659607,-0.8493323,-0.7611337,0.7387409,-0.8825498,0.2623379,0.2947512,0.447149,0.7805232,-0.9606491,-0.9143986,0.085361,0.1233197,-0.3644466
1,Jean-Baptiste Perlin ,0.1643783,-0.1021802,-0.2048839,-0.5674672,-0.912581,-0.7400981,0.45497,0.136776,-0.6663806,-0.387981,-0.6186441,0.5925257,0.09468699,-0.8528609,-0.8312793,0.7588474,-0.7924829,-0.01817048,0.4646382,-0.01130974,-0.3508061,0.6850059,-0.5405484,0.4204816
